Word,Count
Python,1
T,6
o,26
t,20
a,69
l,12
M,6
r,21
k,13
s,24
:,7
1,13
0,18
E,9
c,9
h,7
q,6
u,12
e,19
i,19
n,20
m,7
Question1:-,1
"Writeaprogramthattakesastringasinput,andcountsthefrequencyofeachwordinthestring,theremightberepeatedcharactersinthestring.Yourtaskistofindthehighestfrequencyandreturnsthelengthofthehighest-frequencyword.",1
Note-Youhavetowriteatleast2additionaltestcasesinwhichyourprogramwillrunsuccessfullyandprovideanexplanationforthesame.,2
Exampleinput-string=“writewritewriteallthenumberfromfromfrom1to100”,1
Exampleoutput-5,1
Explanation-Fromthegivenstringwecannotethatthemostfrequentwordsare“write”and“from”andthemaximumvalueofboththevaluesis“write”anditscorrespondinglengthis5,1
Question2:-,1
"Considerastringtobevalidifallcharactersofthestringappearthesamenumberoftimes.Itisalsovalidifhecanremovejustonecharacterattheindexinthestring,andtheremainingcharacterswilloccurthesame",1
"numberoftimes.Givenastring,determineifitisvalid.Ifso,return",1
"YES,otherwisereturn",1
NO.,1
"Exampleinput1-s=“abc”.Thisisavalidstringbecausefrequenciesare{“a”:1,“b”:1,“c”:1}",1
Exampleoutput1-YES,1
"Exampleinput2-s“abcc”.Thisstringisnotvalidaswecanremoveonly1occurrenceof“c”.Thatleavescharacterfrequenciesof{“a”:1,“b”:1,“c”:2}",1
Exampleoutput2-NO,1
Question3:-,1
"Writeaprogram,whichwoulddownloadthedatafromtheprovidedlink,andthenreadthedataandconvertthatintoproperlystructureddataandreturnitinExcelformat.",1
Note-Writecommentswherevernecessaryexplainingthecodewritten.Link-https://raw.githubusercontent.com/Biuni/PokemonGO-Pokedex/master/pokedex.json,1
DataAttributes-id:IdentificationNumber-intnum:Numberofthe,1
●PokémonintheofficialPokédex-intname:Pokémonname-,1
●stringimg:URLtoanimageofthisPokémon-stringtype:,1
●Pokémontype-stringheight:Pokémonheight-float,1
●weight:Pokémonweight-floatcandy:typeofcandyusedtoevolvePokémonor,1
given,2
●whentransferred-stringcandy_count:theamountofcandiesrequiredtoevolve,1
-int,1
●egg:Numberofkilometerstotraveltohatchtheegg-floatspawn_chance:,1
●Percentageofspawnchance(NEW)-floatavg_spawns:Numberofthis,1
pokemonon10.000spawns(NEW)-int,1
●spawn_time:Spawnsmostactiveatthetimeonthisfield.Spawntimesarethesameforall,1
timezonesandareexpressedinlocaltime.(NEW)-“minutes:seconds”multipliers:,1
MultiplierofCombatPower(CP)forcalculatingtheCPafterevolutionSeebelow-listofint,1
weakness:Typesof,1
●PokémonthisPokémonisweakto-listofstringsnext_evolution:NumberandNameof,1
successiveevolutionsofPokémon-listofdictprev_evolution:NumberandNameofprevious,1
evolutionsofPokémon--listofdict,1
Question4-,1
WriteaprogramtodownloadthedatafromthelinkgivenbelowandthenreadthedataandconverttheintotheproperstructureandreturnitasaCSVfile.,1
Link-https://data.nasa.gov/resource/y77d-th95.json,1
Note-Writecodecommentswhereverneededforcodeunderstanding.SampleData-,1
ExceptedOutputDataAttributes,1
●NameofEarthMeteorite-stringid-IDofEarth,1
●Meteorite-intnametype-stringrecclass-string,1
●mass-MassofEarthMeteorite-floatyear-YearatwhichEarth,1
●Meteoritewashit-datetimeformatreclat-floatrecclong-float,1
●pointcoordinates-listofint,1
Question5-,2
WriteaprogramtodownloadthedatafromthegivenAPIlinkandthenextractthefollowingdatawithproperformatting,1
Link-http://api.tvmaze.com/singlesearch/shows?q=westworld&embed=episodes,1
Note-Writepropercodecommentswhereverneededforthecodeunderstanding,1
SampleData-,1
ExceptedOutputDataAttributes-,1
●id-inturl-string,1
●name-stringseason,1
●-intnumber-int,1
●type-stringairdate-,1
●dateformatairtime-,1
●12-hourtimeformat,1
●runtime-float,1
●averagerating-float,1
●summary-string,1
●withouthtmltags,1
●mediumimagelink-string,1
●Originalimagelink-string,1
Question6-,1
"UsingthedatafromQuestion3,writecodetoanalyzethedataandanswerthefollowingquestionsNote1.",1
Drawplotstodemonstratetheanalysisforthefollowingquestionsforbettervisualizations.,1
2.Writecodecommentswhereverrequiredforcodeunderstanding,3
Insightstobedrawn-,4
●GetallPokemonswhosespawnrateislessthan5%,1
●GetallPokemonsthathavelessthan4weaknesses,1
●GetallPokemonsthathavenomultipliersatall,1
●GetallPokemonsthatdonothavemorethan2evolutions,1
